"A","B","C","D","S","H","R","y"
-1,-1,-1,-1,-1,-1,1,88
1,-1,-1,1,-1,-1,1,80
-1,1,-1,1,-1,-1,1,90
1,1,-1,-1,-1,-1,1,95
-1,-1,1,1,-1,-1,1,84
1,-1,1,-1,-1,-1,1,85
-1,1,1,-1,-1,-1,1,91
1,1,1,1,-1,-1,1,89
-1,-1,-1,-1,1,-1,-1,85
1,-1,-1,1,1,-1,-1,77
-1,1,-1,1,1,-1,-1,84
1,1,-1,-1,1,-1,-1,87
-1,-1,1,1,1,-1,-1,82
1,-1,1,-1,1,-1,-1,84
-1,1,1,-1,1,-1,-1,93
1,1,1,1,1,-1,-1,88
-1,-1,-1,-1,-1,1,-1,88
1,-1,-1,1,-1,1,-1,80
-1,1,-1,1,-1,1,-1,91
1,1,-1,-1,-1,1,-1,93
-1,-1,1,1,-1,1,-1,83
1,-1,1,-1,-1,1,-1,82
-1,1,1,-1,-1,1,-1,92
1,1,1,1,-1,1,-1,89
-1,-1,-1,-1,1,1,1,85
1,-1,-1,1,1,1,1,76
-1,1,-1,1,1,1,1,86
1,1,-1,-1,1,1,1,88
-1,-1,1,1,1,1,1,84
1,-1,1,-1,1,1,1,82
-1,1,1,-1,1,1,1,92
1,1,1,1,1,1,1,87
